"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations","ParentWord","ParentPinyin","Zhuyin"
"設備","shèbèi","","5","equipment","facilities, installations, CL:個|个[ge4]","","","ㄕㄜˋ　ㄅㄟˋ"
"設計","shèjì","","5","plan","design, to design, to plan, CL:個|个[ge4]","","","ㄕㄜˋ　ㄐㄧˋ"
"深","shēn","","5","deep","depth, deeply, (of a color) dark, deep, rich, old variant of 深[shen1]","","","ㄕㄣ"
"深入","shēnrù","","5","to penetrate deeply","thorough","","","ㄕㄣ　ㄖㄨˋ"
"身邊","shēnbiān","","5","at one's side","on hand","","","ㄕㄣ　ㄅㄧㄢ"
"身高","shēngāo","","5","(a person's) height","","","","ㄕㄣ　ㄍㄠ"
"身上","shēnshàng","","5","on the body","at hand, among","","","ㄕㄣ　ㄕㄤˋ"
"甚","shèn","","5","what","very, extremely, any, variant of 什[shen2]","甚至","shènzhì","ㄕㄣˋ　ㄓˋ"
"至","zhì","","5","to arrive","most, to, until","甚至","shènzhì","ㄕㄣˋ　ㄓˋ"
"甚至","shènzhì","","5","even","so much so that","","","ㄕㄣˋ　ㄓˋ"
"升","shēng","","5","variant of 升[sheng1]","","","","ㄕㄥ"
"聲調","shēngdiào","","5","tone","note, a tone (on a Chinese syllable), CL:個|个[ge4]","","","ㄕㄥ　ㄉㄧㄠˋ"
"生產","shēngchǎn","","5","to produce","to manufacture, to give birth to a child","","","ㄕㄥ　ㄔㄢˇ"
"生動","shēngdòng","","5","vivid","lively","","","ㄕㄥ　ㄉㄨㄥˋ"
"生命","shēngmìng","","5","life (as the characteristic of living beings)","living being, creature, CL:個|个[ge4],條|条[tiao2]","","","ㄕㄥ　ㄇㄧㄥˋ"
"生意","shēngyì","","5","life force","vitality, business, CL:筆|笔[bi3]","","","ㄕㄥ　ㄧˋ"
"生字","shēngzì","","5","new character (in textbook)","character that is unfamiliar or not yet studied","","","ㄕㄥ　ㄗˋ"
"省","shěng","","5","to save","to economize, to do without, to omit, to leave out, province, to inspect, to examine, to be aware, to pay a visit (to one's parents or elders), CL:個|个[ge4]","","","ㄕㄥˇ"
"省錢","shěngqián","","5","to save money","","","","ㄕㄥˇ　ㄑㄧㄢˊ"
"剩","shèng","","5","to remain","to be left, to have as remainder","","","ㄕㄥˋ"
"剩下","shèngxia","","5","to remain","left over","","","ㄕㄥˋ　˙ㄒㄧㄚ"
"濕","shī","","5","moist","wet","","","ㄕ"
"失","shī","","5","to lose","to miss, to fail","失戀","shīliàn","ㄕ　ㄌㄧㄢˋ"
"失戀","shīliàn","","5","to lose one's love","to break up (in a romantic relationship), to feel jilted","","","ㄕ　ㄌㄧㄢˋ"
"失去","shīqù","","5","to lose","","","","ㄕ　ㄑㄩˋ"
"獅","shī","","5","lion","","獅子","shīzi","ㄕ　˙ㄗ"
"獅子","shīzi","","5","Leo (star sign)","lion, CL:隻|只[zhi1],頭|头[tou2], Shihtzu township in Pingtung County 屏東縣|屏东县[Ping2 dong1 Xian4], Taiwan","","","ㄕ　˙ㄗ"
"十分","shífēn","","5","very","completely, utterly, extremely, absolutely, hundred percent, to divide into ten equal parts","","","ㄕˊ　ㄈㄣ"
"石","shí","dàn","5","dry measure for grain equal to ten dou 斗","ten pecks, one hundred liters, rock, stone, stone inscription, one of the eight ancient musical instruments 八音[ba1 yin1], surname Shi","石頭","shítou","ㄕˊ　˙ㄊㄡ"
"石頭","shítou","","5","stone","CL:塊|块[kuai4]","","","ㄕˊ　˙ㄊㄡ"
"石油","shíyóu","","5","oil","petroleum","","","ㄕˊ　ㄧㄡˊ"
"時代","shídài","","5","Time, US weekly news magazine","age, era, epoch, period (in one's life), CL:個|个[ge4]","","","ㄕˊ　ㄉㄞˋ"
"時刻","shíkè","","5","time","juncture, moment, period of time, constantly, always, CL:個|个[ge4],段[duan4]","","","ㄕˊ　ㄎㄜˋ"
"實話","shíhuà","","5","truth","","","","ㄕˊ　ㄏㄨㄚˋ"
"際","jì","","5","border","edge, boundary, interval, between, inter-, to meet, time, occasion, to meet with (circumstances)","實際","shíjì","ㄕˊ　ㄐㄧˋ"
"實際","shíjì","","5","reality","practice, practical, realistic, real, actual","","","ㄕˊ　ㄐㄧˋ"
"實力","shílì","","5","strength","","","","ㄕˊ　ㄌㄧˋ"
"實行","shíxíng","","5","to implement","to carry out, to put into practice","","","ㄕˊ　ㄒㄧㄥˊ"
"實在","shízài","","5","really","actually, indeed, true, real, honest, dependable, (philosophy) reality","","","ㄕˊ　ㄗㄞˋ"
"使","shǐ","","5","to make","to cause, to enable, to use, to employ, to send, to instruct sb to do sth, envoy, messenger","使得","shǐde","ㄕˇ　˙ㄉㄜ"
"使得","shǐde","","5","usable","workable, feasible, doable, to make, to cause","","","ㄕˇ　˙ㄉㄜ"
"使用","shǐyòng","","5","to use","to employ, to apply, to make use of","","","ㄕˇ　ㄩㄥˋ"
"事實","shìshí","","5","fact","CL:個|个[ge4]","","","ㄕˋ　ㄕˊ"
"事業","shìyè","","5","undertaking","project, activity, (charitable, political or revolutionary) cause, publicly funded institution, enterprise or foundation, career, occupation, CL:個|个[ge4]","","","ㄕˋ　ㄧㄝˋ"
"適","shì","","5","to fit","suitable, proper, just (now), comfortable, well, to go, to follow or pursue, surname Shi","適應","shìyìng","ㄕˋ　ㄧㄥˋ"
"適應","shìyìng","","5","to adapt","to fit, to suit","","","ㄕˋ　ㄧㄥˋ"
"市長","shìzhǎng","","5","mayor","","","","ㄕˋ　ㄓㄤˇ"
"穫","huò","","5","to reap","to harvest","收穫","shōuhuò","ㄕㄡ　ㄏㄨㄛˋ"
"收穫","shōuhuò","","5","to harvest","to reap, to gain, crop, harvest, profit, gain, bonus, reward","","","ㄕㄡ　ㄏㄨㄛˋ"
"收音機","shōuyīnjī","","5","radio","CL:臺|台[tai2]","","","ㄕㄡ　ㄧㄣ　ㄐㄧ"
"首","shǒu","","5","head","chief, first (occasion, thing etc), classifier for poems, songs etc","","","ㄕㄡˇ"
"手套","shǒutào","","5","glove","mitten, CL:雙|双[shuang1],隻|只[zhi1]","","","ㄕㄡˇ　ㄊㄠˋ"
"手續","shǒuxù","","5","procedure","formalities, CL:道[dao4],個|个[ge4]","","","ㄕㄡˇ　ㄒㄩˋ"
"受得了","shòudeliao","","5","","","","","ㄕㄡˋㄉㄜˊㄌㄧㄠˇ"
"書包","shūbāo","","5","schoolbag","satchel, CL:個|个[ge4],隻|只[zhi1]","","","ㄕㄨ　ㄅㄠ"
"書架","shūjià","","5","bookshelf","CL:個|个[ge4]","","","ㄕㄨ　ㄐㄧㄚˋ"
"蔬","shū","","5","vegetables","","蔬菜","shūcài","ㄕㄨ　ㄘㄞˋ"
"蔬菜","shūcài","","5","vegetables","CL:種|种[zhong3]","","","ㄕㄨ　ㄘㄞˋ"
"舒適","shūshì","","5","cozy","snug","","","ㄕㄨ　ㄕˋ"
"叔","shū","","5","uncle","father's younger brother, husband's younger brother, Taiwan pr. [shu2]","叔叔","shúshu","ㄕㄨˊ　˙ㄕㄨ"
"叔叔","shúshu","","5","father's younger brother","uncle, Taiwan pr. [shu2 shu5], CL:個|个[ge4]","","","ㄕㄨˊ　˙ㄕㄨ"
"悉","xī","","5","in all cases","know","熟悉","shoúxī","ㄕㄡˊ　ㄒㄧ"
"熟悉","shoúxī","","5","to be familiar with","to know well","","","ㄕㄡˊ　ㄒㄧ"
"數字","shùzì","","5","numeral","digit, number, figure, amount, digital (electronics etc), CL:個|个[ge4]","","","ㄕㄨˋ　ㄗˋ"
"樹木","shùmù","","5","tree","","","","ㄕㄨˋ　ㄇㄨˋ"
"刷牙","shuāyá","","5","to brush one's teeth","","","","ㄕㄨㄚ　ㄧㄚˊ"
"帥","shuài","","5","handsome","graceful, smart, commander in chief, (coll.) cool!, sweet!, surname Shuai","","","ㄕㄨㄞˋ"
"水餃","shuǐjiǎo","","5","boiled dumpling","","","","ㄕㄨㄟˇ　ㄐㄧㄠˇ"
"水平","shuǐpíng","","5","level (of achievement etc)","standard, horizontal","","","ㄕㄨㄟˇ　ㄆㄧㄥˊ"
"水準","shuǐzhǔn","","5","level (of achievement etc)","standard, level (surveying)","","","ㄕㄨㄟˇ　ㄓㄨㄣˇ"
"睡著","shuìzháo","","5","to fall asleep","","","","ㄕㄨㄟˋ　ㄓㄠˊ"
"順","shùn","","5","to obey","to follow, to arrange, to make reasonable, along, favorable","順便","shùnbiàn","ㄕㄨㄣˋ　ㄅㄧㄢˋ"
"順便","shùnbiàn","","5","conveniently","in passing, without much extra effort","","","ㄕㄨㄣˋ　ㄅㄧㄢˋ"
"順利","shùnlì","","5","smoothly","without a hitch","","","ㄕㄨㄣˋ　ㄌㄧˋ"
"說法","shuōfǎ","","5","to expound Buddhist teachings","way of speaking, wording, formulation, one's version (of events), statement, theory, hypothesis, interpretation","","","ㄕㄨㄛ　ㄈㄚˇ"
"說明","shuōmíng","","5","to explain","to illustrate, to indicate, to show, to prove, explanation, directions, caption, CL:個|个[ge4]","","","ㄕㄨㄛ　ㄇㄧㄥˊ"
"說起來","shuōqilai","","5","","","","","ㄕㄨㄛ　˙ㄑㄧ　˙ㄌㄞ"
"思考","sīkǎo","","5","to reflect on","to ponder over","","","ㄙ　ㄎㄠˇ"
"思想","sīxiǎng","","5","thought","thinking, idea, ideology, CL:個|个[ge4]","","","ㄙ　ㄒㄧㄤˇ"
"似","sì","","5","old variant of 似[si4]","","似乎","sìhū","ㄙˋ　ㄏㄨ"
"乎","hū","","5","(classical particle similar to 於|于[yu2]) in","at, from, because, than, (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)","似乎","sìhū","ㄙˋ　ㄏㄨ"
"似乎","sìhū","","5","apparently","to seem, to appear, as if, seemingly","","","ㄙˋ　ㄏㄨ"
"寺","sì","","5","Buddhist temple","mosque, government office (old)","寺廟","sìmiào","ㄙˋ　ㄇㄧㄠˋ"
"寺廟","sìmiào","","5","temple","monastery, shrine","","","ㄙˋ　ㄇㄧㄠˋ"
"速度","sùdù","","5","speed","rate, velocity, (music) tempo, CL:個|个[ge4]","","","ㄙㄨˋ　ㄉㄨˋ"
"算了","suànle","","5","let it be","let it pass, forget about it","","","ㄙㄨㄢˋ　˙ㄌㄜ"
"隨","suí","","5","to follow","to comply with, varying according to..., to allow, subsequently, surname Sui","隨便","suíbiàn","ㄙㄨㄟˊ　ㄅㄧㄢˋ"
"隨便","suíbiàn","","5","as one wishes","as one pleases, at random, negligent, casual, wanton","","","ㄙㄨㄟˊ　ㄅㄧㄢˋ"
"隨時","suíshí","","5","at any time","at all times, at the right time","","","ㄙㄨㄟˊ　ㄕˊ"
"謂","wèi","","5","to speak","to say, to name, to designate, meaning, sense, surname Wei","所謂","suǒwèi","ㄙㄨㄛˇ　ㄨㄟˋ"
"所謂","suǒwèi","","5","so-called","what is called","","","ㄙㄨㄛˇ　ㄨㄟˋ"
"它","tā","","5","it","","","","ㄊㄚ"
"它們","tāmen","","5","they (for inanimate objects)","","","","ㄊㄚ　˙ㄇㄣ"
"抬","tái","","5","to lift","to raise, (of two or more persons) to carry","","","ㄊㄞˊ"
"颱","tái","","5","typhoon","","颱風","táifēng","ㄊㄞˊ　ㄈㄥ"
"颱風","táifēng","","5","hurricane","typhoon","","","ㄊㄞˊ　ㄈㄥ"
"態","tài","","5","(bound form)","appearance, shape, form, state, attitude, (grammar) voice","態度","tàidù","ㄊㄞˋ　ㄉㄨˋ"
"態度","tàidù","","5","manner","bearing, attitude, approach, CL:個|个[ge4]","","","ㄊㄞˋ　ㄉㄨˋ"
"談話","tánhuà","","5","talk","conversation, CL:次[ci4]","","","ㄊㄢˊ　ㄏㄨㄚˋ"
"厭","yàn","","5","to loathe","","討厭","tǎoyàn","ㄊㄠˇ　ㄧㄢˋ"
"討厭","tǎoyàn","","5","to dislike","to loathe, disagreeable, troublesome, annoying","","","ㄊㄠˇ　ㄧㄢˋ"
"特地","tèdì","","5","specially","for a special purpose","","","ㄊㄜˋ　ㄉㄧˋ"
"特色","tèsè","","5","characteristic","distinguishing feature or quality","","","ㄊㄜˋ　ㄙㄜˋ"
"殊","shū","","5","different","unique, special, very, (classical) to behead, to die, to cut off, to separate, to surpass","特殊","tèshū","ㄊㄜˋ　ㄕㄨ"
"特殊","tèshū","","5","special","particular, unusual, extraordinary","","","ㄊㄜˋ　ㄕㄨ"
"提","tí","","5","to carry (hanging down from the hand)","to lift, to put forward, to mention, to raise (an issue), upwards character stroke, lifting brush stroke (in painting), scoop for measuring liquid","","","ㄊㄧˊ"
"提到","tídào","","5","to mention","to raise (a subject), to refer to","","","ㄊㄧˊㄉㄠˋ"
"提高","tígāo","","5","to raise","to increase, to improve","","","ㄊㄧˊ　ㄍㄠ"
"供","gōng","","5","to provide","to supply, sacrificial offering, to confess","提供","tígōng","ㄊㄧˊ　ㄍㄨㄥ"
"提供","tígōng","","5","to offer","to supply, to provide, to furnish","","","ㄊㄧˊ　ㄍㄨㄥ"
"題材","tícái","","5","subject matter","","","","ㄊㄧˊ　ㄘㄞˊ"
"題目","tímù","","5","subject","title, topic, CL:個|个[ge4]","","","ㄊㄧˊ　ㄇㄨˋ"
"體會","tǐhuì","","5","to know from experience","to learn through experience, to realize, understanding, experience","","","ㄊㄧˇ　ㄏㄨㄟˋ"
"體力","tǐlì","","5","physical strength","physical power","","","ㄊㄧˇ　ㄌㄧˋ"
"貼","tiē","","5","to stick","to paste, to post (e.g. on a blog), to keep close to, to fit snugly, to subsidize, allowance (e.g. money for food or housing), sticker, classifier for sticking plaster: strip","體貼","tǐtiē","ㄊㄧˇ　ㄊㄧㄝ"
"體貼","tǐtiē","","5","considerate (of other people's needs)","","","","ㄊㄧˇ　ㄊㄧㄝ"
"體重","tǐzhòng","","5","body weight","","","","ㄊㄧˇ　ㄓㄨㄥˋ"
"天堂","tiāntáng","","5","paradise","heaven","","","ㄊㄧㄢ　ㄊㄤˊ"
"天天","tiāntiān","","5","every day","","","","ㄊㄧㄢ　ㄊㄧㄢ"
"天下","tiānxià","","5","land under heaven","the whole world, the whole of China, realm, rule","","","ㄊㄧㄢ　ㄒㄧㄚˋ"
"田","tián","","5","field","farm, surname Tian, CL:片[pian4]","","","ㄊㄧㄢˊ"
"填","tián","","5","to fill or stuff","(of a form etc) to fill in","","","ㄊㄧㄢˊ"
"甜點","tiándiǎn","","5","dessert","","","","ㄊㄧㄢˊ　ㄉㄧㄢˇ"
"條件","tiáojiàn","","5","condition","circumstances, term, factor, requirement, prerequisite, qualification, CL:個|个[ge4]","","","ㄊㄧㄠˊ　ㄐㄧㄢˋ"
"挑","tiāo","","5","to carry on a shoulder pole","to choose, to pick, to nitpick, to raise, to dig up, to poke, to prick, to incite, to stir up","挑戰","tiǎozhàn","ㄊㄧㄠˇ　ㄓㄢˋ"
"戰","zhàn","","5","to fight","fight, war, battle","挑戰","tiǎozhàn","ㄊㄧㄠˇ　ㄓㄢˋ"
"挑戰","tiǎozhàn","","5","to challenge","challenge","","","ㄊㄧㄠˇ　ㄓㄢˋ"
"鐵路","tiělù","","5","railroad","railway, CL:條|条[tiao2]","","","ㄊㄧㄝˇ　ㄌㄨˋ"
"聽見","tīngjiàn","","5","to hear","","","","ㄊㄧㄥ　ㄐㄧㄢˋ"
"聽力","tīnglì","","5","hearing","listening ability","","","ㄊㄧㄥ　ㄌㄧˋ"
"聽起來","tīngqǐlái","","5","to sound like","","","","ㄊㄧㄥㄑㄧˇㄌㄞˊ"
"聽眾","tīngzhòng","","5","audience","listeners","","","ㄊㄧㄥ　ㄓㄨㄥˋ"
"挺","tǐng","","5","straight","erect, to stick out (a part of the body), to (physically) straighten up, to support, to withstand, outstanding, (coll.) quite, very, classifier for machine guns","","","ㄊㄧㄥˇ"
"通過","tōngguò","","5","by means of","through, via, to pass through, to get through, to adopt, to pass (a bill or inspection etc), to switch over","","","ㄊㄨㄥ　ㄍㄨㄛˋ"
"同情","tóngqíng","","5","to sympathize with","sympathy","","","ㄊㄨㄥˊ　ㄑㄧㄥˊ"
"同時","tóngshí","","5","at the same time","simultaneously","","","ㄊㄨㄥˊ　ㄕˊ"
"同樣","tóngyàng","","5","same","equal, equivalent","","","ㄊㄨㄥˊ　ㄧㄤˋ"
"痛苦","tòngkǔ","","5","pain","suffering, painful, CL:個|个[ge4]","","","ㄊㄨㄥˋ　ㄎㄨˇ"
"投","tóu","","5","to cast","to send, to throw oneself (into the river etc), to seek refuge, to place oneself into the hands of","","","ㄊㄡˊ"
"資","zī","","5","resources","capital, to provide, to supply, to support, money, expense","投資","tóuzī","ㄊㄡˊ　ㄗ"
"投資","tóuzī","","5","investment","to invest","","","ㄊㄡˊ　ㄗ"
"頭痛","tóutòng","","5","to have a headache","","","","ㄊㄡˊ　ㄊㄨㄥˋ"
"突","tū","","5","to dash","to move forward quickly, to bulge, to protrude, to break through, to rush out, sudden, Taiwan pr. [tu2]","突然","túrán","ㄊㄨˊ　ㄖㄢˊ"
"突然","túrán","","5","sudden","abrupt, unexpected","","","ㄊㄨˊ　ㄖㄢˊ"
"土","tǔ","","5","Tu (ethnic group)","earth, dust, clay, local, indigenous, crude opium, unsophisticated, one of the eight ancient musical instruments 八音[ba1 yin1], surname Tu","","","ㄊㄨˇ"
"土地","tǔdì","","5","land","soil, territory, local god, genius loci, CL:片[pian4],塊|块[kuai4]","","","ㄊㄨˇ　ㄉㄧˋ"
"兔","tù","","5","rabbit","variant of 兔[tu4]","兔子","tùzi","ㄊㄨˋ　˙ㄗ"
"兔子","tùzi","","5","hare","rabbit, CL:隻|只[zhi1]","","","ㄊㄨˋ　˙ㄗ"
"團","tuán","","5","round","lump, ball, to roll into a ball, to gather, regiment, group, society, classifier for a lump or a soft mass: wad (of paper), ball (of wool), cloud (of smoke)","團體","tuántǐ","ㄊㄨㄢˊ　ㄊㄧˇ"
"團體","tuántǐ","","5","group","organization, team, CL:個|个[ge4]","","","ㄊㄨㄢˊ　ㄊㄧˇ"
"團圓","tuányuán","","5","to have a reunion","","","","ㄊㄨㄢˊ　ㄩㄢˊ"
"推","tuī","","5","to push","to cut, to refuse, to reject, to decline, to shirk (responsibility), to put off, to delay, to push forward, to nominate, to elect, massage","","","ㄊㄨㄟ"
"薦","jiàn","","5","to recommend","to offer sacrifice (arch.), grass, straw mat","推薦","tuījiàn","ㄊㄨㄟ　ㄐㄧㄢˋ"
"推薦","tuījiàn","","5","to recommend","recommendation","","","ㄊㄨㄟ　ㄐㄧㄢˋ"
"銷","xiāo","","5","to melt (metal)","to cancel or annul, to sell, to spend, to fasten with a bolt, bolt or pin","推銷","tuīxiāo","ㄊㄨㄟ　ㄒㄧㄠ"
"推銷","tuīxiāo","","5","to market","to sell","","","ㄊㄨㄟ　ㄒㄧㄠ"
"退","tuì","","5","to retreat","to decline, to move back, to withdraw","退步","tuìbù","ㄊㄨㄟˋ　ㄅㄨˋ"
"退步","tuìbù","","5","to do less well than before","to make a concession, setback, backward step, leeway, room to maneuver, fallback","","","ㄊㄨㄟˋ　ㄅㄨˋ"
"退休","tuìxiū","","5","to retire","retirement (from work)","","","ㄊㄨㄟˋ　ㄒㄧㄡ"
"脫","tuō","","5","to shed","to take off, to escape, to get away from","","","ㄊㄨㄛ"
"娃","wá","","5","baby","doll","娃娃","wáwa","ㄨㄚˊ　˙ㄨㄚ"
"娃娃","wáwa","","5","baby","small child, doll","","","ㄨㄚˊ　˙ㄨㄚ"
"外邊","wàibiān","","5","outside","outer surface, abroad, place other than one's home","","","ㄨㄞˋ　ㄅㄧㄢ"
"外公","wàigōng","","5","(coll.) mother's father","maternal grandfather","","","ㄨㄞˋ　ㄍㄨㄥ"
"外婆","wàipó","","5","(coll.) mother's mother","maternal grandmother","","","ㄨㄞˋ　ㄆㄛˊ"
"外文","wàiwén","","5","foreign language (written)","","","","ㄨㄞˋ　ㄨㄣˊ"
"外語","wàiyǔ","","5","foreign language","CL:門|门[men2]","","","ㄨㄞˋ　ㄩˇ"
"完成","wánchéng","","5","to complete","to accomplish","","","ㄨㄢˊ　ㄔㄥˊ"
"完全","wánquán","","5","complete","whole, totally, entirely","","","ㄨㄢˊ　ㄑㄩㄢˊ"
"玩具","wánjù","","5","plaything","toy","","","ㄨㄢˊ　ㄐㄩˋ"
"萬一","wànyī","","5","just in case","if by any chance, contingency","","","ㄨㄢˋ　ㄧ"
"網路","wǎnglù","","5","network (computer, telecom)","Internet, Taiwanese term for 網絡|网络[wang3 luo4]","","","ㄨㄤˇ　ㄌㄨˋ"
"往往","wǎngwǎng","","5","usually","in many cases, more often than not","","","ㄨㄤˇ　ㄨㄤˇ"
"忘記","wàngjì","","5","to forget","","","","ㄨㄤˋ　ㄐㄧˋ"
"維","wéi","","5","to preserve","to maintain, to hold together, dimension, abbr. for Uighur 維吾爾|维吾尔[Wei2 wu2 er3], surname Wei, vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])","維持","wéichí","ㄨㄟˊ　ㄔˊ"
"維持","wéichí","","5","to keep","to maintain, to preserve","","","ㄨㄟˊ　ㄔˊ"
"微","wēi","","5","ancient Chinese state near present day Chongqing","Taiwan pr. [Wei2], tiny, miniature, slightly, profound, abtruse, to decline, one millionth part of, micro-, Taiwan pr. [wei2], surname Wei","微笑","wéixiào","ㄨㄟˊ　ㄒㄧㄠˋ"
"微笑","wéixiào","","5","smile","to smile, CL:個|个[ge4],絲|丝[si1]","","","ㄨㄟˊ　ㄒㄧㄠˋ"
"主","zhǔ","","5","owner","master, host, individual or party concerned, God, Lord, main, to indicate or signify, trump card (in card games)","為主","wéizhǔ","ㄨㄟˊㄓㄨˇ"
"為主","wéizhǔ","","5","to rely mainly on","to attach most importance to","","","ㄨㄟˊㄓㄨˇ"
"偉","wěi","","5","big","large, great","偉大","wěidà","ㄨㄟˇ　ㄉㄚˋ"
"偉大","wěidà","","5","huge","great, grand, worthy of the greatest admiration, important (contribution etc)","","","ㄨㄟˇ　ㄉㄚˋ"
"未","wèi","","5","not yet","did not, have not, not, 8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep, ancient Chinese compass point: 210°","未來","wèilái","ㄨㄟˋ　ㄌㄞˊ"
"未來","wèilái","","5","future","tomorrow, approaching, coming, pending, CL:個|个[ge4]","","","ㄨㄟˋ　ㄌㄞˊ"
"置","zhì","","5","to install","to place, to put, to buy","位置","wèizhì","ㄨㄟˋ　ㄓˋ"
"位置","wèizhì","","5","position","place, seat, CL:個|个[ge4]","","","ㄨㄟˋ　ㄓˋ"
"位子","wèizi","","5","place","seat","","","ㄨㄟˋ　˙ㄗ"
"柔","róu","","5","soft","flexible, supple, yielding, rho (Greek letter Ρρ)","溫柔","wēnróu","ㄨㄣ　ㄖㄡˊ"
"溫柔","wēnróu","","5","gentle and soft","tender","","","ㄨㄣ　ㄖㄡˊ"
"文件","wénjiàn","","5","document","file, CL:份[fen4]","","","ㄨㄣˊ　ㄐㄧㄢˋ"
"文學","wénxué","","5","literature","CL:種|种[zhong3]","","","ㄨㄣˊ　ㄒㄩㄝˊ"
"文字","wénzì","","5","character","script, writing, written language, writing style, phraseology, CL:個|个[ge4]","","","ㄨㄣˊ　ㄗˋ"
"穩","wěn","","5","settled","steady, stable","穩定","wěndìng","ㄨㄣˇ　ㄉㄧㄥˋ"
"穩定","wěndìng","","5","steady","stable, stability, to stabilize, to pacify","","","ㄨㄣˇ　ㄉㄧㄥˋ"
"問好","wènhǎo","","5","to say hello to","to send one's regards to","","","ㄨㄣˋ　ㄏㄠˇ"
"問候","wènhòu","","5","to give one's respects","to send a greeting","","","ㄨㄣˋ　ㄏㄡˋ"
"握手","wòshǒu","","5","to shake hands","","","","ㄨㄛˋ　ㄕㄡˇ"
"屋子","wūzi","","5","house","room, CL:間|间[jian1]","","","ㄨ　˙ㄗ"
"無法","wúfǎ","","5","unable","incapable","","","ㄨˊ　ㄈㄚˇ"
"無論如何","wúlùnrúhé","","5","whatever the case","in any event, no matter what, by all possible means","","","ㄨˊ　ㄌㄨㄣˋ　ㄖㄨˊ　ㄏㄜˊ"
"無窮","wúqióng","","5","endless","boundless, inexhaustible","","","ㄨˊ　ㄑㄩㄥˊ"
"無所謂","wúsuǒwèi","","5","to be indifferent","not to matter, cannot be said to be","","","ㄨˊ　ㄙㄨㄛˇ　ㄨㄟˋ"
"誤會","wùhuì","","5","to misunderstand","to mistake, misunderstanding, CL:個|个[ge4]","","","ㄨˋ　ㄏㄨㄟˋ"
"物價","wùjià","","5","(commodity) prices","CL:個|个[ge4]","","","ㄨˋ　ㄐㄧㄚˋ"
"西北","xīběi","","5","Northwest China (Shaanxi, Gansu, Qinghai, Ningxia, Xinjiang)","northwest","","","ㄒㄧ　ㄅㄟˇ"
"西餐","xīcān","","5","Western-style food","CL:份[fen4],頓|顿[dun4]","","","ㄒㄧ　ㄘㄢ"
"西方","xīfāng","","5","the West","the Occident, Western countries","","","ㄒㄧ　ㄈㄤ"
"西南","xīnán","","5","southwest","","","","ㄒㄧ　ㄋㄢˊ"
"吸","xī","","5","to breathe","to suck in, to absorb, to inhale","吸毒","xīdú","ㄒㄧ　ㄉㄨˊ"
"吸毒","xīdú","","5","to take drugs","","","","ㄒㄧ　ㄉㄨˊ"
"吸收","xīshōu","","5","to absorb","to assimilate, to ingest, to recruit","","","ㄒㄧ　ㄕㄡ"
"引","yǐn","","5","to draw (e.g. a bow)","to pull, to stretch sth, to extend, to lengthen, to involve or implicate in, to attract, to lead, to guide, to leave, to provide evidence or justification for, old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters","吸引","xīyǐn","ㄒㄧ　ㄧㄣˇ"
"吸引","xīyǐn","","5","to attract (interest, investment etc)","CL:個|个[ge4]","","","ㄒㄧ　ㄧㄣˇ"
"犧","xī","","5","sacrifice","","犧牲","xīshēng","ㄒㄧ　ㄕㄥ"
"牲","shēng","","5","domestic animal","sacrificial animal","犧牲","xīshēng","ㄒㄧ　ㄕㄥ"
"犧牲","xīshēng","","5","to sacrifice one's life","to sacrifice (sth valued), beast slaughtered as a sacrifice","","","ㄒㄧ　ㄕㄥ"
"喜愛","xǐài","","5","to like","to love, to be fond of, favorite","","","ㄒㄧˇ　ㄞˋ"
"細","xì","","5","thin or slender","finely particulate, thin and soft, fine, delicate, trifling, (of a sound) quiet, frugal","","","ㄒㄧˋ"
"細心","xìxīn","","5","careful","attentive","","","ㄒㄧˋ　ㄒㄧㄣ"
"戲","xì","","5","trick","drama, play, show, CL:出[chu1],場|场[chang3],臺|台[tai2]","","","ㄒㄧˋ"
"戲劇","xìjù","","5","drama","play, theater","","","ㄒㄧˋ　ㄐㄩˋ"
"系","xì","","5","to tie","to fasten, to button up, to connect, to arrest, to worry","系統","xìtǒng","ㄒㄧˋ　ㄊㄨㄥˇ"
"系統","xìtǒng","","5","system","CL:個|个[ge4]","","","ㄒㄧˋ　ㄊㄨㄥˇ"
"下來","xiàlai","","5","to come down","(after verb of motion, indicates motion down and towards us, also fig.), (indicates continuation from the past towards us), to be harvested (of crops), to be over (of a period of time), to go among the masses (said of leaders)","","","ㄒㄧㄚˋ　˙ㄌㄞ"
"嚇","xià","","5","to scare","to intimidate, to threaten, (interjection showing disapproval) tut-tut, (interjection showing astonishment), to frighten, to scare","","","ㄒㄧㄚˋ"
"嚇一跳","xiàyítiào","","5","startled","to frighten, scared out of one's skin","","","ㄒㄧㄚˋ　ㄧ　ㄊㄧㄠˋ"
"線","xiàn","","5","thread","string, wire, line, CL:條|条[tiao2],股[gu3],根[gen1]","","","ㄒㄧㄢˋ"
"現代","xiàndài","","5","Hyundai, South Korean company","modern times, modern age, modern era","","","ㄒㄧㄢˋ　ㄉㄞˋ"
